Date;Producto ;Cantidad;Cantidad_prom;Precio;Total_Venta;Kilometraje
07/04/2020;Diesel;3471,29;14,52;8195,69;28394236,00;142158,21
08/04/2020;Diesel;3293,71;15,39;8163,68;26824952,00;129202,92
09/04/2020;Diesel;1952,15;13,46;8248,85;16095625,00;123330,23
10/04/2020;Diesel;108,44;14,46;7728,01;838025,00;156610,43
11/04/2020;Diesel;2536,14;15,49;8188,79;20754973,00;119734,10
12/04/2020;Diesel;360,33;12,81;7982,69;2886972,00;201795,94
13/04/2020;Diesel;2440,29;22,52;8192,53;19958037,00;140163,75
14/04/2020;Diesel;3053,29;12,64;8192,35;24981231,00;128005,18
15/04/2020;Diesel;2821,54;13,75;8172,52;23042678,00;139030,39
16/04/2020;Diesel;3203,54;14,11;8144,74;26032293,00;130989,02
17/04/2020;Diesel;2994,51;14,70;8173,43;24465017,00;133346,53
18/04/2020;Diesel;2974,84;14,33;8175,88;24289528,00;129583,88
19/04/2020;Diesel;369,84;13,77;8061,64;2984537,00;129782,64
20/04/2020;Diesel;2556,29;26,42;8146,02;20816692,00;324678,62
21/04/2020;Diesel;2969,53;15,04;8185,11;24289066,00;135417,37
22/04/2020;Diesel;2945,63;14,28;8179,39;24096654,00;140906,26
23/04/2020;Diesel;3148,67;14,58;8150,81;25636338,00;138963,56
24/04/2020;Diesel;3332,98;15,36;8186,38;27251564,00;138127,06
